Treatment Plant,Date,Virus,Normalised Viral Load (gc/person/day),7-day Median Viral Load (gc/person/day),Rt estimate,Estimate lower bound,Estimate upper bound
Switzerland,2023-03-15,IAV-M,NA,3208640.25801105,0.877248071268293,0.729746350487805,1.0242686284065
Switzerland,2023-03-16,IAV-M,1197242.1801105,2897411.81104972,0.870159592715447,0.720780548089431,1.01740700065041
Switzerland,2023-03-17,IAV-M,NA,2047444.77531707,0.863521866455285,0.714409592414634,1.01076109668293
Switzerland,2023-03-18,IAV-M,738017.459116022,2047444.77531707,0.857417766780488,0.710128675544715,1.00613799417886
Switzerland,2023-03-19,IAV-M,2897411.81104972,2047444.77531707,0.851902818398374,0.702269181674797,1.00327538023577
Switzerland,2023-03-20,IAV-M,2047444.77531707,2047444.77531707,0.847029076325203,0.694563091105691,1.00152809341463
Switzerland,2023-03-21,IAV-M,2268020.31552846,2047444.77531707,0.842842925756098,0.683836568780488,0.999424020593496
Switzerland,2023-03-22,IAV-M,NA,2047444.77531707,0.839384054829268,0.678632943617886,1.00074382312195
Switzerland,2023-03-23,IAV-M,1071083.96273171,1878201.44065041,0.836691053219512,0.672260347829268,1.00006894186992
Switzerland,2023-03-24,IAV-M,NA,1568230.40938211,0.834806709536585,0.670969718317073,0.999237399089431
Switzerland,2023-03-25,IAV-M,1344696.17463415,1344696.17463415,0.833745120552845,0.667951269544716,1.00042991077236
Switzerland,2023-03-26,IAV-M,1878201.44065041,1344696.17463415,0.833512237577236,0.666421941178862,1.00526759595935
Switzerland,2023-03-27,IAV-M,1568230.40938211,1344696.17463415,0.834111143934959,0.664051339902439,1.00713068450406
Switzerland,2023-03-28,IAV-M,1099136.02027642,1344696.17463415,0.835540235406504,0.662348464869919,1.00936164658537
Switzerland,2023-03-29,IAV-M,NA,1099136.02027642,0.837794436317073,0.66190005698374,1.0147433747561
Switzerland,2023-03-30,IAV-M,369405.08097561,687819.256691057,0.840851360390244,0.663019597560976,1.02082108451219
Switzerland,2023-03-31,IAV-M,NA,369405.08097561,0.84461940495122,0.668845011756098,1.02406585046341
Switzerland,2023-04-01,IAV-M,687819.256691057,369405.08097561,0.848972870113821,0.673606551447154,1.02569431362602
Switzerland,2023-04-02,IAV-M,333679.585642276,369405.08097561,0.853779968,0.680558725691057,1.03174521385366
Switzerland,2023-04-03,IAV-M,357702.25195122,357702.25195122,0.858903859593496,0.685188720536585,1.04101776056911
Switzerland,2023-04-04,IAV-M,553685.749056911,357702.25195122,0.864202421788618,0.688651589154472,1.04909233837398
Switzerland,2023-04-05,IAV-M,NA,357702.25195122,0.86952932801626,0.692742833723577,1.05658266146341
Switzerland,2023-04-06,IAV-M,341975.293943089,357702.25195122,0.874749370138211,0.697775231211382,1.06333771317073
Switzerland,2023-04-07,IAV-M,NA,553685.749056911,0.879795349341463,0.703185641674797,1.07096084627642
Switzerland,2023-04-08,IAV-M,1289238.72362602,341975.293943089,0.884685530731707,0.708944304252033,1.07816474162602
Switzerland,2023-04-09,IAV-M,336396.224520325,341975.293943089,0.889454157495935,0.713678710926829,1.08372238373984
Switzerland,2023-04-10,IAV-M,699686.616569106,394886.516943089,0.894131104162602,0.715493881170732,1.09326156528455
Switzerland,2023-04-11,IAV-M,30000.2975786463,394886.516943089,0.898741514796748,0.719430573902439,1.09856128357724
Switzerland,2023-04-12,IAV-M,NA,394886.516943089,0.903307198308943,0.722788465382114,1.10487663853659
Switzerland,2023-04-13,IAV-M,394886.516943089,644006.35897561,0.907851419512195,0.72761573000813,1.1093382895935
Switzerland,2023-04-14,IAV-M,NA,644006.35897561,0.91239916495935,0.731595773780488,1.11741024642276
Switzerland,2023-04-15,IAV-M,644006.35897561,644006.35897561,0.916946593235772,0.736275987479675,1.1251814695122
Switzerland,2023-04-16,IAV-M,833482.49097561,644006.35897561,0.921480612056911,0.738891616341463,1.1287546803252
Switzerland,2023-04-17,IAV-M,879866.492845528,644006.35897561,0.92598471398374,0.744220602682927,1.1377935796748
Switzerland,2023-04-18,IAV-M,163424.312195122,403715.335585366,0.930438772097561,0.747969229243902,1.14473506471545
Switzerland,2023-04-19,IAV-M,NA,151971.421390244,0.934820047365854,0.748371029674797,1.15082954439024
Switzerland,2023-04-20,IAV-M,54747.4263414634,151971.421390244,0.939103718642276,0.750723187365854,1.15396599504065
Switzerland,2023-04-21,IAV-M,0,151971.421390244,0.943258939845528,0.754961556886179,1.15779857910569
Switzerland,2023-04-22,IAV-M,140518.530585366,232389.992676704,0.947254942260163,0.759662603780488,1.15944053227642
Switzerland,2023-04-23,IAV-M,374932.536211382,232389.992676704,0.95105980804878,0.763277229626016,1.16452420447154
Switzerland,2023-04-24,IAV-M,385012.847772358,248517.392863695,0.95463888998374,0.767017978772358,1.16735292195122
Switzerland,2023-04-25,IAV-M,324261.454768041,324261.454768041,0.957954094268293,0.769246911268293,1.17270249796748
