strain	date	location	subclade_membership	clade_membership	country	database	region	accession	author
m2-Qb4JVo	2024-01-19	VD	C.1.1	5a.2a.1	Switzerland	ReVSeq	Europe	m2-Qb4JVo	
GS_0096H0W.1	2022-12-10		C.1.1	5a.2a.1	USA			GS_0096H0W.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0092HWB.1	2022-12-27		C.1.1	5a.2a.1	USA			GS_0092HWB.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0096ARL.1	2022-11-28		C.1.1	5a.2a.1	USA			GS_0096ARL.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0096ESE.1	2022-12-07		C.1.1	5a.2a.1	USA			GS_0096ESE.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_00A2KH0.1	2024-02-06		C.1.1	5a.2a.1	USA			GS_00A2KH0.1	Lauring, A. S.; Papalambros, L. K.
GS_00A4YBW.1	2024-01-01		C.1.1	5a.2a.1	USA			GS_00A4YBW.1	Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_00A33P2.1	2024-02-08		C.1.1	5a.2a.1	USA			GS_00A33P2.1	Lauring, A. S.; Papalambros, L. K.
GS_00AJ4M8.1	2024-07-01		C.1.1	5a.2a.1	Japan			GS_00AJ4M8.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.
GS_009AAU6.1	2023-02-07		C.1.1	5a.2a.1	USA			GS_009AAU6.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0094MT9.1	2022-12-14		C.1.1	5a.2a.1	United Kingdom			GS_0094MT9.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008PZ8Y.1	2022-08-17		C.1.1	5a.2a.1	United Kingdom			GS_008PZ8Y.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008W1LR.1	2022-10-24		C.1.1	5a.2a.1	Germany			GS_008W1LR.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0096L5H.1	2022-12-20		C.1.1	5a.2a.1	USA			GS_0096L5H.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0094KU9.1	2022-12-29		C.1.1	5a.2a.1	United Kingdom			GS_0094KU9.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094MPH.1	2022-12-19		C.1.1	5a.2a.1	United Kingdom			GS_0094MPH.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094MX1.1	2022-12-02		C.1.1	5a.2a.1	United Kingdom			GS_0094MX1.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094L9D.1	2022-12-21		C.1.1	5a.2a.1	United Kingdom			GS_0094L9D.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094MYZ.1	2022-12-18		C.1.1	5a.2a.1	United Kingdom			GS_0094MYZ.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094NFZ.1	2022-12-22		C.1.1	5a.2a.1	United Kingdom			GS_0094NFZ.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094LLQ.1	2022-12-12		C.1.1	5a.2a.1	United Kingdom			GS_0094LLQ.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
m2-XMdsys	2024-02-16	SO	C.1.1	5a.2a.1	Switzerland	ReVSeq	Europe	m2-XMdsys	
GS_0096CH0.1	2022-12-03		C.1.1	5a.2a.1	USA			GS_0096CH0.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0094NU6.1	2022-12-27		C.1.1	5a.2a.1	United Kingdom			GS_0094NU6.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_009V7KN.1	2023-01-03		C.1.1	5a.2a.1	United Kingdom			GS_009V7KN.1	Sanderson DAVID, N.
GS_009VMXJ.1	2023-03-01		C.1.1	5a.2a.1	United Kingdom			GS_009VMXJ.1	Sanderson DAVID, N.
GS_008UN8Z.1	2022-11-01		C.1.1	5a.2a.1	USA			GS_008UN8Z.1	Sereewit, J.; Goya, S.; Kong, K.; Nguyen, T. V.; Xie, H.; Greninger, A. L.
GS_0099ZXD.1	2023-03-21		C.1.1	5a.2a.1	United Kingdom			GS_0099ZXD.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_008YKZB.1	2022-11-21		C.1.1	5a.2a.1	Germany			GS_008YKZB.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_009J490.1	2023-07-01		C.1.1	5a.2a.1	USA			GS_009J490.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008W5S9.1	2022-12-01		C.1.1	5a.2a.1	USA			GS_008W5S9.1	Sereewit, J.; Goya, S.; Kong, K.; Nguyen, T. V.; Xie, H.; Greninger, A. L.
GS_00AM5TP.1	2022-12-21		C.1.1	5a.2a.1	USA			GS_00AM5TP.1	Frazar, C. D.; Lee, J.; Ryke, E.; Gamboa, L.; Opsahl, J.; Rodriguez-Salas, L.; McDermot, E.; Stone, J.; Kolar, T.; Han, P. D.; Sibley, T. R.; Truong, M.; Reinhart, D.; Grindstaff, S.; Wolf, C. R.; Boeckh, M.; Englund, J. A.; Lutz, B. R.; Waghmare, A.; Viboud, C.; Starita, L. M.; Shendure, J.; Bedford, T.; Chu, H. Y.
GS_00AM5UM.1	2022-12-28		C.1.1	5a.2a.1	USA			GS_00AM5UM.1	Frazar, C. D.; Lee, J.; Ryke, E.; Gamboa, L.; Opsahl, J.; Rodriguez-Salas, L.; McDermot, E.; Stone, J.; Kolar, T.; Han, P. D.; Sibley, T. R.; Truong, M.; Reinhart, D.; Grindstaff, S.; Wolf, C. R.; Boeckh, M.; Englund, J. A.; Lutz, B. R.; Waghmare, A.; Viboud, C.; Starita, L. M.; Shendure, J.; Bedford, T.; Chu, H. Y.
GS_008Q2FD.1	2022-09-13		C.1.1	5a.2a.1	Germany			GS_008Q2FD.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0094NNJ.1	2022-12-28		C.1.1	5a.2a.1	United Kingdom			GS_0094NNJ.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0091GK2.1	2023-01-19		C.1.1	5a.2a.1	United Kingdom			GS_0091GK2.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_0090GNY.1	2023-01-03		C.1.1	5a.2a.1	Germany			GS_0090GNY.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_0094K8G.1	2022-12-06		C.1.1	5a.2a.1	United Kingdom			GS_0094K8G.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094LKS.1	2022-12-13		C.1.1	5a.2a.1	United Kingdom			GS_0094LKS.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094M3Q.1	2022-12-20		C.1.1	5a.2a.1	United Kingdom			GS_0094M3Q.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094KLR.1	2022-12-26		C.1.1	5a.2a.1	United Kingdom			GS_0094KLR.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094M4N.1	2022-12-20		C.1.1	5a.2a.1	United Kingdom			GS_0094M4N.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008V39E.1	2022-10-11		C.1.1	5a.2a.1	USA			GS_008V39E.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V3AC.1	2022-10-12		C.1.1	5a.2a.1	USA			GS_008V3AC.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V3G0.1	2022-10-24		C.1.1	5a.2a.1	USA			GS_008V3G0.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V3C8.1	2022-10-16		C.1.1	5a.2a.1	USA			GS_008V3C8.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_008V3BA.1	2022-10-16		C.1.1	5a.2a.1	USA			GS_008V3BA.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
GS_0094MD4.1	2022-12-25		C.1.1	5a.2a.1	United Kingdom			GS_0094MD4.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094L8F.1	2022-12-20		C.1.1	5a.2a.1	United Kingdom			GS_0094L8F.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008ZCYJ.1	2022-12-20		C.1.1	5a.2a.1	Germany			GS_008ZCYJ.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_008ZD54.1	2022-12-22		C.1.1	5a.2a.1	Germany			GS_008ZD54.1	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.
GS_0096H9C.1	2022-12-10		C.1.1	5a.2a.1	USA			GS_0096H9C.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_0094KSD.1	2023-01-01		C.1.1	5a.2a.1	United Kingdom			GS_0094KSD.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_0094MRD.1	2022-12-17		C.1.1	5a.2a.1	United Kingdom			GS_0094MRD.1	Williams, T. G. S.; Nebbia, G.; Alder, C.; Snell, L. B.
GS_008VMQZ.1	2022-10-13		C.1.1	5a.2a.1	Germany			GS_008VMQZ.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_008VMSV.1	2022-10-16		C.1.1	5a.2a.1	Germany			GS_008VMSV.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_008VN7Z.1	2022-10-16		C.1.1	5a.2a.1	Germany			GS_008VN7Z.1	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Garrett, C. M.; Kramer, D. L.; Hanson, J. F.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.
GS_0096KT7.1	2022-12-20		C.1.1	5a.2a.1	USA			GS_0096KT7.1	Fitzsimmons, W.; Bendall, E.; Gilbert, J.; Lauring, A.
GS_00AM5PX.1	2022-11-25		C.1.1	5a.2a.1	USA			GS_00AM5PX.1	Frazar, C. D.; Lee, J.; Ryke, E.; Gamboa, L.; Opsahl, J.; Rodriguez-Salas, L.; McDermot, E.; Stone, J.; Kolar, T.; Han, P. D.; Sibley, T. R.; Truong, M.; Reinhart, D.; Grindstaff, S.; Wolf, C. R.; Boeckh, M.; Englund, J. A.; Lutz, B. R.; Waghmare, A.; Viboud, C.; Starita, L. M.; Shendure, J.; Bedford, T.; Chu, H. Y.
GS_008V1RH.1	2022-10-04		C.1.1	5a.2a.1	USA			GS_008V1RH.1	Wentworth, D.; Barnes, J.; Steel, J.; Garten, R.; Davis, T.; Dugan, V.
