strain	date	subclade_membership	clade_membership	country	author	accession	location	database	region
GS_009WL36.1	2023-10-26	C.1	5a.2a	USA	Lauring, A. S.; Papalambros, L. K.	GS_009WL36.1			
GS_009HLY7.1	2023-03-01	C.1	5a.2a	China	Dai, Y. Z.; Cheng, J.	GS_009HLY7.1			
m2-4SnyCD	2023-04-10	C.1	5a.2a	Switzerland		m2-4SnyCD	BL	ReVSeq	Europe
GS_00A0Z5F.1	2024-01-30	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A0Z5F.1			
GS_00A91CF.1	2024-03-06	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A91CF.1			
GS_009PTYN.1	2023-05-02	C.1	5a.2a	China	Xu, D.	GS_009PTYN.1			
GS_008ZGN0.1	2022-12-30	C.1	5a.2a	Germany	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Selent, M. U.	GS_008ZGN0.1			
GS_009EGN4.1	2023-06-20	C.1	5a.2a	Japan	Gruner, W. E.; Muehleman, D. M.; Garrett, C. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Sjoberg, P. A.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.	GS_009EGN4.1			
GS_009YNK1.1	2024-01-03	C.1	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_009YNK1.1			
m2-h2ZJd5	2024-01-31	C.1	5a.2a	Switzerland		m2-h2ZJd5	BE	ReVSeq	Europe
GS_009W41S.1	2024-01-29	C.1	5a.2a	Switzerland		GS_009W41S.1			
GS_009W3D3.1	2024-03-04	C.1	5a.2a	Switzerland		GS_009W3D3.1			
m2-xrRPFj	2024-01-18	C.1	5a.2a	Switzerland		m2-xrRPFj	GE	ReVSeq	Europe
GS_00A4HX4.1	2024-02-21	C.1	5a.2a	United Kingdom	Gruner, W. E.; Muehleman, D. M.; Fries, A. C.; Hanson, J. F.; Kramer, D. L.; Demarcus, L. S.; Wasik, P. M.; Robbins, A. S.; Macias, E. A.; Shaw, K. B.; Johnson, C. D.; Hartless, T. R.; Hardy, J.	GS_00A4HX4.1			
m2-PZQaiq	2024-02-20	C.1	5a.2a	Switzerland		m2-PZQaiq	BE	ReVSeq	Europe
