strain	date	country	region	clade_membership	author	accession	location	database
330102002	2018-12-19	France	Europe	A.D.5	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376667		
390103004	2019-12-18	Italy	Europe	A.D.5	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376656		
PP760414	2022-12-31	USA	North America	A.D.5	Sereewit,J.,Nunley,B.E.,Roychoudhury,P.,Greninger,A.L.	PP760414		
PP203262	2022-11-03	USA	North America	A.D.5	Goya,S.,Wendm,S.,Sereewit,J.,Shankar,R.,Kim,D.Y.,Greninger,A.L.	PP203262		
PP203266	2022-11-03	USA	North America	A.D.5	Goya,S.,Wendm,S.,Sereewit,J.,Shankar,R.,Kim,D.Y.,Greninger,A.L.	PP203266		
008-0014	2023-12-18	France	Europe	A.D.5	Fourati,S.,Rameix Welti,M.-A.	PQ762675		
033-0005	2023-12-31	France	Europe	A.D.5	Fourati,S.,Rameix Welti,M.-A.	PQ762916		
018-0010	2023-12-02	France	Europe	A.D.5	Fourati,S.,Rameix Welti,M.-A.	PQ762808		
025-0027	2024-01-01	France	Europe	A.D.5	Fourati,S.,Rameix Welti,M.-A.	PQ763119		
A18321094	2022-11-30	Ireland	Europe	A.D.5.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969994		
RSVLO1069	2022-12-21	United Kingdom	Europe	A.D.5.3	Maloney,D.M.,Fernandes,G.,Jasim,S.,Dewar,R.,Templeton,K.E.	PQ348887		
hRSV/A/Germany/23-01059/2022	2022-11-15	Germany	Europe	A.D.5.3	Kondgen,S.,Reiche,J.	OR795477		
018-0001	2023-11-26	France	Europe	A.D.5.3	Fourati,S.,Rameix Welti,M.-A.	PQ762800		
RSVA/human/USA/WY-USAFSAM-R00028/2022	2022-12-07	USA	North America	A.D.5.3	Fries,A.,Padraic,F.,Jennifer,M.,Kelsey,L.,William,G.,Deanna,M.,Sarah,P.,Elizabeth,M.	PP681257		
A18321049	2022-10-28	Ireland	Europe	A.D.5.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969972		
A18321084	2022-11-08	Ireland	Europe	A.D.5.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969983		
