strain	date	country	region	location	clade_membership	author	accession	database
93484	2024-01-24	Mexico	North America		A.D.1.5	Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.	PQ599899	
93557	2024-01-30	Mexico	North America		A.D.1	Garza-Cabello,J.C.,Ruiz-Higareda,A.F.,Galan-Huerta,K.A.,Bocanegra-Ibarias,P.,Camacho-Ortiz,A.,Rivas-Estilla,A.M.	PQ599900	
270101081	2018-05-09	South Africa	Africa		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376556	
270102089	2019-07-12	South Africa	Africa		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376305	
270103011	2020-03-16	South Africa	Africa		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376628	
310102033	2018-12-18	Netherlands	Europe		A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376354	
310103002	2020-01-29	Netherlands	Europe		A.D.2.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376471	
310103042	2019-12-11	Netherlands	Europe		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376285	
330102002	2018-12-19	France	Europe		A.D.5	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376667	
330102010	2019-01-07	France	Europe		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376821	
330103039	2020-01-20	France	Europe		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376683	
340101011	2017-11-26	Spain	Europe		A.D	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376436	
340102001	2018-11-28	Spain	Europe		A.D.2.2.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376462	
358101003	2017-12-16	Finland	Europe		A.D.2.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376631	
358101026	2018-02-01	Finland	Europe		A.D.2.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376562	
358102021	2019-04-15	Finland	Europe		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376627	
358103048	2020-03-11	Finland	Europe		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376290	
390103004	2019-12-18	Italy	Europe		A.D.5	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376656	
390103014	2020-01-14	Italy	Europe		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376611	
520103021	2020-02-09	Mexico	North America		A.D.2.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376838	
550101047	2018-07-23	Brazil	South America		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376716	
550102160	2019-07-03	Brazil	South America		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376487	
610102029	2019-06-23	Australia	Oceania		A.D.1	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376715	
610103034	2021-01-03	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376774	
610103035	2021-01-04	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376498	
610103036	2021-01-05	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376516	
610103037	2021-01-05	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376803	
610103038	2021-01-05	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376515	
610103039	2021-01-06	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376812	
610103040	2021-01-06	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376529	
610103041	2021-01-08	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376544	
610103043	2021-01-09	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376833	
610103044	2021-01-11	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376575	
610103045	2021-01-19	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376365	
610103047	2021-01-21	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376396	
610103048	2021-01-25	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376429	
610103050	2021-01-28	Australia	Oceania		A.D.1.2	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376759	
