strain	date	country	region	clade_membership	author	accession	location	database
310102033	2018-12-18	Netherlands	Europe	A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376354		
810103027	2019-10-21	Japan	Asia	A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376696		
820103001	2020-02-13	South Korea	Asia	A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376605		
886103015	2019-12-10	Taiwan	Asia	A.D.3	Langedijk,A.C.,Lebbink,R.J.,Bont,L.J.,Evers,A.	PP376566		
2019-R1659	2019-02-20	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974136		
MN-MDH-RSVA-00751	2024-03-22	USA	North America	A.D.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Bohnker,L.,Wang,X.	PP957764		
HRSV/A/Japan/23RS040iso/2024	2024-04-22	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862018		
hRSV-A-G43S14A4	2024-03-19	USA	North America	A.D.3	Lauring,A.S.,Papalambros,L.K.	PP903814		
RSV-A/human/USA/WA-S26032/2023	2023-11-08	USA	North America	A.D.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638797		
hRSV-A-G43R23P6	2023-11-03	USA	North America	A.D.3	Lauring,A.S.,Papalambros,L.K.	PP270249		
2023-01R1071	2023-12-10	China	Asia	A.D.3	Wei,X.,Wang,L.,Li,M.,Qi,J.,Kang,L.,Hu,G.,Gong,C.,Wang,C.,Wang,Y.,Huang,F.,Gao,G.F.	PP974155		
MN-MDH-RSVA-00324	2024-01-04	USA	North America	A.D.3	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP709396		
H20-358-0049	2024-01-12	USA	North America	A.D.3	Rothstein,A.P.,Qiu,X.,Collins,S.,Muir,G.,Simas,A.,Sum,A.,Lu,B.,Cosca,B.,Girinathan,B.,Leeson,P.,Phillipson,C.W.,Plocik,A.,Simen,B.	PQ117653		
RSV/Human/USA/MA-Broad_MGB-13673/2022	2022-11-05	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ024158		
RSV-A/human/USA/WA-S25748/2022	2022-11-11	USA	North America	A.D.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638699	King County WA	
RSV-A/human/USA/WA-S25715/2022	2022-11-22	USA	North America	A.D.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638666		
RSV-A/human/USA/WA-S23768/2022	2022-12-06	USA	North America	A.D.3	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR522481	King County WA	
WA-UW-12065	2023-11-28	USA	North America	A.D.3	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PP530268		
hRSV-A-G43R21Z0	2023-11-01	USA	North America	A.D.3	Lauring,A.S.,Papalambros,L.K.	PP270234		
RSV - A/B_6q2ylf	2023-11-21	Switzerland	Europe	A.D.3		m2-4SRYNi	VD	ReVSeq
A18321008	2022-10-04	Ireland	Europe	A.D.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969943		
A18321042	2022-10-18	Ireland	Europe	A.D.3	Carr,M.,Dean,J.,Hare,D.,OByrne,E.,De Gascun,C.F.,Rice,A.,Gonzalez,G.	PP969969		
PP760389	2022-10-31	USA	North America	A.D.3	Sereewit,J.,Nunley,B.E.,Roychoudhury,P.,Greninger,A.L.	PP760389		
HRSV/A/Japan/23U017iso/2024	2024-05-07	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862022		
RSV/Human/USA/MA-Broad_MGB-13788/2022	2022-10-14	USA	North America	A.D.3	Adams,G.,Uddin,R.,Messer,K.,Dobbins,S.,Kotzen,B.,Siddle,K.J.,Petros,B.,Paull,J.,Brock-Fisher,T.,Levine,Z.,Krasilnikova,L.,Negrete-Arenas,F.,Tomkins-Tinch,C.,Chaluvadi,S.,Marmol,C.,DeRuff,K.,Loreth,C.,Birren,B.W.,Park,D.J.,MacInnis,B.L.,Sabeti,P.C.,Rosenberg,E.,Turbett,S.,Lemieux,J.E.	OQ171910		
HRSV/A/Japan/22RS012iso/2022	2022-09-05	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862034		
HRSV/A/Japan/22RS018iso/2022	2022-10-20	Japan	Asia	A.D.3	Ichikawa,Y.,Saito,R.	LC862035		
hRSV-A-G43Q52T0	2023-04-13	USA	North America	A.D.3	Lauring,A.S.,Papalambros,L.K.,Fitzsimmons,W.J.,Gilbert,J.	OR883017		
2312V110055	2023-12-10	France	Europe	A.D.3	Caillault,A.,Fourati,S.	PQ899889		
040-0016	2023-11-29	France	Europe	A.D.3.2	Fourati,S.,Rameix Welti,M.-A.	PQ762990		
hRSV/A/Panama/ICGES-42/2022	2022-10-17	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618052		
ASU101586	2022-12-19	USA	North America	A.D.3.2	Holland,S.C.,Holland,L.A.,Smith,M.F.,Leonard,V.R.,Murugan,V.,Nordstrom,L.,Mulrow,M.,Salgado,R.,White,M.,Lim,E.S.	OR143140		
PP352386	2022-12-01	USA	North America	A.D.3.2	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352386		
PP352346	2022-10-01	USA	North America	A.D.3.2	Rios Guzman,E.,Simons,L.M.,Dean,T.J.,Agnes,F.,Pawlowski,A.,Alisoltanidehkordi,A.,Nam,H.H.,Ison,M.G.,Ozer,E.A.,Lorenzo-Redondo,R.,Hultquist,J.F.	PP352346		
hRSV-A-W13K18B9	2022-09-16	USA	North America	A.D.3.2	Gilbert,J.,Lauring,A.S.,Papalambros,L.K.	OR872621		
RSV-A/human/USA/WA-S23764/2022	2022-11-10	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR522477	King County WA	
MN-MDH-RSVA-00035	2023-09-22	USA	North America	A.D.3.2	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP135031		
RSV-A/human/USA/OR-S24692/2023	2023-12-14	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Opsahl,J.,Reich,S.,Rodriguez-Salas,L.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	PP342432	Washington County OR	
WA-UW-43591	2023-12-29	USA	North America	A.D.3.2	Roychoudhury,P.,Xie,X.,Sereewit,J.,Ellis,S.,Greninger,A.	PQ390730		
hRSV/A/Panama/ICGES-65/2022	2022-12-07	Panama	North America	A.D.3.2	Franco,D.,Goya,S.,Martinez,A.,Moreno,B.,Valdespino,E.,Gaitan,M.,Gonzalez,C.,Moreno,A.,Capitan-Barrios,Z.,Carrera,J.P.,Lopez-Verges,S.,Pascale,J.M.,Das,S.R.,Arbiza,J.,Delfraro,A.,Abrego,L.	PQ618051		
PP508181	2022-05-30	Peru	South America	A.D.3.2	Meza,E.,Cuicapuza,D.,Martinez-Ventura,A.,Ayzanoa,B.,Zamudio,C.,Avendano,C.,Greninger,A.,Sobolik,E.,Tsukayama,P.	PP508181		
MN-MDH-RSVA-00028	2023-09-18	USA	North America	A.D.3.2	Kunerth,H.D.,Plumb,M.,Namugenyi,S.,Evans,D.,Wang,X.	PP135024		
hRSV-A-G43R79M4	2024-01-31	USA	North America	A.D.3.2	Lauring,A.S.,Papalambros,L.K.	PP781413		
RSV-A/human/USA/WA-S25711/2022	2022-11-22	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,Opsahl,J.,Rodriguez-Salas,L.,McDermot,E.,Stone,J.,Kolar,T.,Han,P.D.,Sibley,T.R.,Truong,M.,Reinhart,D.,Grindstaff,S.,Wolf,C.R.,Boeckh,M.,Englund,J.A.,Lutz,B.R.,Waghmare,A.,Viboud,C.,Starita,L.M.,Shendure,J.,Bedford,T.,Chu,H.Y.	PQ638662	King County WA	
RSV-A/human/USA/WA-S23781/2022	2022-09-27	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR522494	King County WA	
RSV-A/human/USA/WA-S23780/2022	2022-10-02	USA	North America	A.D.3.2	Frazar,C.D.,Lee,J.,Ryke,E.,Gamboa,L.,McDermot,E.,Kolar,T.,Han,P.D.,Sibley,T.R.,Reinhart,D.,Grindstaff,S.,Truong,M.,Babu,T.M.,Feldstein,L.R.,Saydah,S.,Briggs-Hagen,M.,Casto,A.,Ehmen,B.,Englund,J.A.,Fortmann,S.P.,Kuntz,J.L.,Lockwood,T.,Midgley,C.M.,Mularski,R.A.,Ogilvie,T.,Reich,S.,Schmidt,M.A.,Smith,N.,Starita,L.,Stone,J.,Vandermeer,M.,Weil,A.A.,Wolf,C.R.,Chu,H.Y.,Naleway,A.L.	OR522493	King County WA	
