strain	filter	kwargs
AB518388	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KT807511	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
DQ452974	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KT032176	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
HW270106	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
EF549638	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KX829145	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
LC192246	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
KC795669	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
ON461704	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
DQ450638	filter_by_query	"[[""query"", ""subtypes == subtypes & F_coverage > 0.8 & institution != \""ETH Zurich, Computational Evolution group, Mattenstrasse 26\"" | database==\""ReVSeq\"" ""]]"
